,genre,anime_count
107,"[""'Kids'"", ""'Magic'""]",18
108,"[""'Kids'"", ""'Music'"", ""'Slice of Life'""]",18
109,"[""'Romance'"", ""'School'"", ""'Shoujo'""]",18
110,"[""'Action'"", ""'Fantasy'"", ""'Magic'"", ""'Supernatural'""]",17
111,"[""'Action'"", ""'Adventure'"", ""'Fantasy'"", ""'Magic'"", ""'Shounen'""]",17
112,"[""'Music'"", ""'Sci-Fi'""]",17
113,"[""'Comedy'"", ""'Shounen'"", ""'Slice of Life'""]",17
114,"[""'Music'"", ""'Romance'""]",17
115,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Fantasy'""]",17
116,"[""'Adventure'"", ""'Drama'""]",17
117,"[""'Mecha'""]",17
118,"[""'Action'"", ""'Mecha'"", ""'Sci-Fi'"", ""'Space'""]",17
119,"[""'Action'"", ""'Music'""]",17
120,"[""'Fantasy'"", ""'Historical'""]",16
121,"[""'Fantasy'"", ""'Game'""]",16
122,"[""'Hentai'"", ""'Yuri'""]",16
123,"[""'Action'"", ""'Fantasy'"", ""'Magic'"", ""'Shoujo'""]",16
124,"[""'Comedy'"", ""'Shounen'"", ""'Sports'""]",16
125,"[""'Comedy'"", ""'Romance'"", ""'School'"", ""'Slice of Life'""]",16
126,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Shounen'"", ""'Super Power'""]",16
127,"[""'Comedy'"", ""'Ecchi'"", ""'Harem'"", ""'Romance'"", ""'School'""]",16
128,"[""'Fantasy'"", ""'Kids'"", ""'Music'""]",16
129,"[""'Action'"", ""'Adventure'"", ""'Sci-Fi'"", ""'Space'""]",16
130,"[""'Military'"", ""'School'""]",16
131,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Seinen'""]",15
132,"[""'Romance'""]",15
133,"[""'Action'"", ""'Adventure'"", ""'Mecha'"", ""'Sci-Fi'"", ""'Shounen'""]",15
134,"[""'Drama'"", ""'Sports'""]",15
135,"[""'Fantasy'"", ""'Hentai'""]",15
136,"[""'Drama'"", ""'Fantasy'"", ""'Kids'""]",15
137,"[""'Comedy'"", ""'Historical'"", ""'Parody'""]",15
138,"[""'Comedy'"", ""'Drama'""]",15
139,"[""'Fantasy'"", ""'Magic'""]",15
140,"[""'Action'"", ""'Fantasy'"", ""'Game'""]",15
141,"[""'Action'"", ""'Comedy'"", ""'Fantasy'""]",15
142,"[""'Comedy'"", ""'Drama'"", ""'Slice of Life'""]",14
143,"[""'Music'"", ""'School'""]",14
144,"[""'Fantasy'"", ""'Magic'"", ""'Shoujo'""]",14
145,"[""'Hentai'"", ""'Romance'""]",14
146,"[""'Action'"", ""'Drama'"", ""'Military'"", ""'Sci-Fi'"", ""'Space'""]",14
147,"[""'Comedy'"", ""'Drama'"", ""'School'"", ""'Shounen'"", ""'Sports'""]",14
148,"[""'Adventure'"", ""'Drama'"", ""'Fantasy'""]",14
149,"[""'Drama'"", ""'Romance'"", ""'Slice of Life'""]",14
150,"[""'Drama'"", ""'Sci-Fi'""]",14
151,"[""'Comedy'"", ""'Mecha'"", ""'Parody'""]",14
152,"[""'Action'"", ""'Mecha'"", ""'Military'"", ""'Sci-Fi'""]",14
153,"[""'Action'"", ""'Fantasy'"", ""'Historical'"", ""'Martial Arts'""]",13
154,"[""'Music'"", ""'School'"", ""'Shoujo'"", ""'Slice of Life'""]",13
155,"[""'Magic'"", ""'Shoujo'""]",13
156,"[""'Parody'""]",13
157,"[""'Comedy'"", ""'Romance'"", ""'School'"", ""'Shounen'""]",13
158,"[""'Comedy'"", ""'School'"", ""'Seinen'""]",13
159,"[""'Comedy'"", ""'Ecchi'"", ""'School'""]",13
160,"[""'Comedy'"", ""'Police'""]",13
161,"[""'Action'"", ""'Comedy'"", ""'Historical'"", ""'Parody'"", ""'Samurai'"", ""'Sci-Fi'"", ""'Shounen'""]",13
162,"[""'Fantasy'"", ""'Slice of Life'""]",13
163,"[""'School'"", ""'Slice of Life'""]",13
164,"[""'Comedy'"", ""'Mecha'"", ""'Sci-Fi'""]",12
165,"[""'Comedy'"", ""'School'"", ""'Shounen'""]",12
166,"[""'Action'"", ""'Game'"", ""'Shounen'""]",12
167,"[""'Comedy'"", ""'Ecchi'"", ""'Romance'""]",12
168,"[""'Kids'"", ""'Sci-Fi'"", ""'Super Power'""]",12
169,"[""'Comedy'"", ""'Drama'"", ""'Romance'"", ""'Shounen Ai'""]",12
170,"[""'Comedy'"", ""'Music'"", ""'Slice of Life'""]",12
171,"[""'School'"", ""'Shounen'"", ""'Sports'""]",12
172,"[""'Action'"", ""'Super Power'"", ""'Supernatural'""]",12
173,"[""'Romance'"", ""'Shoujo'""]",12
174,"[""'Comedy'"", ""'Dementia'""]",12
175,"[""'Comedy'"", ""'Mystery'"", ""'Super Power'""]",12
176,"[""'Action'"", ""'Fantasy'"", ""'Sci-Fi'""]",11
177,"[""'Action'"", ""'Martial Arts'""]",11
178,"[""'School'"", ""'Sports'""]",11
179,"[""'Psychological'""]",11
180,"[""'Action'"", ""'Mecha'"", ""'Military'"", ""'Sci-Fi'"", ""'Space'""]",11
181,"[""'Comedy'"", ""'Drama'"", ""'Romance'"", ""'School'"", ""'Slice of Life'""]",11
182,"[""'Comedy'"", ""'Slice of Life'"", ""'Supernatural'""]",11
183,"[""'Demons'"", ""'Drama'"", ""'Shoujo'"", ""'Slice of Life'"", ""'Supernatural'""]",11
184,"[""'Hentai'"", ""'Supernatural'""]",11
185,"[""'Adventure'"", ""'Drama'"", ""'Historical'"", ""'Slice of Life'""]",11
186,"[""'Comedy'"", ""'Ecchi'"", ""'School'"", ""'Seinen'""]",11
187,"[""'Adventure'"", ""'Drama'"", ""'Sci-Fi'""]",11
188,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Shounen'""]",11
189,"[""'Adventure'"", ""'Sci-Fi'"", ""'Shounen'""]",11
190,"[""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Magic'"", ""'Shounen'""]",11
191,"[""'Comedy'"", ""'Historical'"", ""'Kids'""]",11
192,"[""'Demons'"", ""'Hentai'""]",11
193,"[""'Action'"", ""'Adventure'"", ""'Ecchi'"", ""'Fantasy'""]",11
194,"[""'Adventure'"", ""'Fantasy'"", ""'Historical'""]",11
195,"[""'Romance'"", ""'School'""]",11
196,"[""'Comedy'"", ""'Josei'"", ""'Slice of Life'""]",11
197,"[""'Action'"", ""'Fantasy'"", ""'Magic'""]",10
198,"[""'Comedy'"", ""'Harem'"", ""'Romance'"", ""'School'""]",10
199,"[""'Action'"", ""'Adventure'"", ""'Comedy'"", ""'Fantasy'"", ""'Shounen'""]",10
200,"[""'Action'"", ""'Mecha'"", ""'Sci-Fi'"", ""'Super Power'""]",10
201,"[""'Action'"", ""'Cars'"", ""'Drama'"", ""'Seinen'"", ""'Sports'""]",10
202,"[""'Action'"", ""'Comedy'"", ""'Mecha'"", ""'Sci-Fi'""]",10
203,"[""'Action'"", ""'Adventure'"", ""'Drama'"", ""'Fantasy'""]",10
204,"[""'Action'"", ""'Adventure'"", ""'Sci-Fi'"", ""'Shounen'""]",10
205,"[""'Comedy'"", ""'Harem'"", ""'Romance'"", ""'School'"", ""'Shounen'""]",10
206,"[""'Adventure'"", ""'Drama'"", ""'Historical'""]",10
207,"[""'Drama'"", ""'Fantasy'"", ""'Magic'"", ""'Slice of Life'""]",10
208,"[""'Action'"", ""'Military'"", ""'Sci-Fi'""]",10
